Title,Content,Ingredients,Recipe Yield,Direction
Zöldségfőzelék,"Nan

Nan","1 kis karfiol
1 uborka
1 sárgarépa
2 zöldhagyma
só
petrezselyem
kapor
citromlé
víz","Nan

Nan","A karfiol, a karalábé és a sárgarépa 20 percig főződik, majd szűrőbe öntve hűlni hagyják. A karfiol rózsáira szedik, a sárgarépát és a karalábét kockákra vágják. A vöröshagymát apróra vágják, a főtt zöldségekhez adják, és karikákra vágott uborkát tesznek bele. Két pohárnyi főzőlevélhez adják, és a tűzhelyen addig főzik, amíg az uborka megpuhul. Sóval ízesítik, és petrezselyem, kapor és citromlé kerül bele."
Mángoldos étele,Egy post napra a mángold étel nagyon jól jön és laktató. Mindenkinek ajánlom.,"800 g cukkini
1 nagy hagyma
2 sárgarépa
2 evőkanál olívaolaj
250 g frissen préselt paradicsom vagy paradicsompüré
só, bors, babérlevél, petrezselyem","Nan

Nincs","Megpucoljuk a répát és reszeljük le. A hagymát megpucoljuk és apróra vágjuk. A zöldségeket olívaolajon pirítjuk, majd a lecsöpögtetett mángoldot hozzáadjuk. Hozzáadjuk a paradicsom pasztát és annyi vízzel öntjük fel, amennyi ellepi az egész ételt. Addig főzzük, amíg a mángold szemek megpuhulnak. Nekem nem tartott sokáig, mert előfőzött volt. Végül sóval, borssal, fenyőmagokkal ízesítjük, majd miután levesszük a tűzről, apróra vágott petrezselyemmel meghintjük és fedő alatt pár percig pihentetjük. Melegen tálaljuk. Jó étvágyat!"
A desszert (vegán) mézeskaláccsal,Egyszerű sütemény!,"1 üveg lekvár
3 evőkanál olaj
3 evőkanál cukor
1 teáskanál szódabikarbóna
1 pohár 250 ml szójatej
fahéj
a liszt amennyit befogad","Nan

Nincs","Keverjük össze a mézet a cukorral, olajjal, szódabikarbónával, fahéjjal és a tejjel. Végül adjuk hozzá a lisztet, amíg egy nem túl kemény, nem túl lágy masszát kapunk, amit sütőpapírral bélelt tepsibe öntünk. Előmelegített sütőben (közepes hőfokon) kb. 30-40 percig süssük."
Vegetáriánus Tofu Etelek (Videó Recept),Radu ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma Mártás zöldséges tofu-val készült ételét készítette el ma.,"egy csoda tofu sajt
egy cukkin
egy póréhagyma
egy kis répa
2 sárgarépa
1 pastinák gyökér
néhány paradicsom
1 piros paprika
egy vöröshagyma","Azoknak, akik szeretik a csípős ételt, egy apróra vágott chili paprika hozzáadása a végén.","Morzsázzuk a répát, a petrezselymet, a cukkinit, a padlizsánt és a paszternácot, a paprikát kockázzuk, a hagymát, a sárgarépát és a paradicsomot karikázzuk. Az összes zöldséget egy tálba tesszük, a paradicsomot pedig ráhalmozzuk. Fűszerezzük sóval, borssal és egy kevés piros paprikával. Olívaolajat öntünk rá. Fóliával lefedjük és kb. 30-40 percig sütjük. Közben kockázzuk a tofu-t, amit a zöldségekre halmozunk. Megpermetezzük olívaolajjal és még kb. 10 percig sütjük. Végül apróra vágott petrezselymet szórunk rá és kész is a finom ételünk."
Gombás Tökfőzelék,"Gyorsan elkészíti, nagyon finomak.","1 kg gomba
1 nagy hagyma
1 nagy sárgarépa
50 ml olaj
só, bors, ízlés szerint","Nan

Nincs","Vágja kisebb kockákra a hagymát és a paprikát, és pirítsa be őket olajban. Adja hozzá a gombákat, én fagyasztott gombákat használtam, így nem kellett vízzel hígítani. Főzze lassú tűzön körülbelül 10 percig, és ízesítse ízlés szerint."
Lencse és krumpli étel,"Nan

Nincs","1 csomag lencse (400 g)
1 nagy krumpli
1 nagy hagyma
1 sárgarépa
3 evőkanál olívaolaj
egy csésze víz
só
bors","Nan

Nincs","Megtisztítjuk és megmossuk a zöldségeket. A hagymát apróra vágjuk, a sárgarépát szeleteljük és a krumplit kockára vágjuk. Egy serpenyőbe tesszük az olajat és megmelegítjük, majd hozzáadjuk a hagymát. Ezután a sárgarépát és a krumplit is hozzáadjuk, megszórjuk sóval és borssal. 5 percig főzzük össze. Utána hozzáadjuk a lencsefőzeléket és annyi vizet, hogy ellepje. Addig főzzük, amíg a lé elpárolog és a krumpli és a sárgarépa megpuhul. Jó étvágyat!"
"Töltött burgonya ""Egyedi"" szójával","Valami finom és könnyen elkészíthetőt akartam. És íme, itt van!","4 krumpli
1 hagyma
3 evőkanál olívaolaj
4 evőkanál paradicsomlé
egy csokor petrezselyem
só
bors
fokhagyma
fűszerek","Nan

Nincs","Egy tálba tegyünk szóját, és kb. 10 percig főzzük. A hagymát megtisztítjuk, apróra vágjuk és 1 evőkanál olajjal és 2 evőkanál vízzel összefőzzük, amíg a hagyma üveges lesz. Hozzáadjuk a lecsöpögtetett szóját, és még 5 percig főzzük. Készre főztük, lekapcsoljuk a tűzhelyet. Adjunk hozzá egy evőkanál paradicsomszószt, apróra vágott petrezselymet, sót és borsot ízlés szerint. Míg a töltelék kihűl, a krumplit megtisztítjuk, megmossuk és kettévágjuk. Középre vágunk, hogy helyet adjunk a tölteléknek. A krumplikat megtöltjük, és egy kerámia tálba helyezzük, amibe a maradék olajat is beleöntöttük. A közepébe tettük a közepéből kivágott krumplikat és a szóját. Hozzáadtuk a maradék paradicsomszószt, sót, borsot, fűszereket, és fokhagymaporral ízesítettük. A tálat szilikonpapírral lefedtük, és egy előmelegített sütőben 175 fokon 30 percig sütöttük. A szilikonpapírt eltávolítottuk, és 40 percig sütöttük, amíg a krumplik aranybarnára sültek. Kivettük a tálat, és apróra vágott petrezselymet szórtunk a krumplikra. Hidegen vagy salátával tálaljuk."
Posta szarmája fokhagymával,"Megfogtam a bátorságom és elkészítettem a szarmalét, szégyenemre ez az első alkalom, hogy elkészítem. Az étel receptje éjszaka jött az eszembe, és remélem, hogy tetszeni fog.","1 töltött káposzta
6 kis hagyma
6 gerezd fokhagyma
1 sárgarépa
300 g gomba
200 g rizs
100 g szójagranulátum Inedit
2 teáskanál édes paprika
2 teáskanál csípős paprika
só
2 evőkanál sűrű paradicsomlé","Nan

Nincs",1. Estél este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este este
Gyors Zacusca,"Ezt a zakuszkát azért készítettük, mert nagyon szeretjük, és a mélyhűtőben lévő répák miatt úgy döntöttünk, hogy másképp készítjük el, így egy kicsit más zakuszkát készítettünk, azaz nem sütöttük meg a padlizsánt, ahogyan az a hagyományos zakuszkában megszokott, csak a répát sütöttük meg!","5 nagy sárgarépa
2 hagyma
3 nagy paprika
250 ml olaj
250 ml sűrű paradicsomlé
egy babérlevél
bors mag
néhány koriander mag (opcionális)
só ízlés szerint","Nan

Nincs","Megmosom a padlizsánokat, lehámozzuk őket és lecsöpögtetjük a keserű léből körülbelül 2 órán keresztül. Én fagyasztottam, megsütöttem nyáron és fagyasztóba tettem. Romániában fagyasztott padlizsánt kapni a boltokban, de nálunk Kanadában nem fogyasztják olyan sokan, mint nálunk, ezért vennem kellett és sütnöm. 

Megpucoljuk a hagymát, vékonyra vágjuk és egy acél serpenyőben 250 ml olajjal megpirítjuk. Fokozatosan adagolunk hozzá meleg vizet, hogy megpuhuljon és jól főjjön.

Megtisztítjuk a paprikákat és vastag szeletekre vágjuk, majd a serpenyőbe tesszük a hagymával együtt és még vizet adagolunk hozzá, amíg megpuhulnak.

A padlizsánokat a robotgépbe tesszük és jól összeturmixoljuk, amíg péppé nem válik, majd a serpenyőbe rakjuk és összekeverjük a hagymával és a paprikával.

Egy darab babérlevelet, borsot, sót és koriandert teszünk hozzá és összekeverjük.

Amikor már forrni kezd, hozzáadjuk a levest és még 5 percig főzzük, majd egy emailozott tálba tesszük, és előmelegített 180 °C-os sütőbe tesszük.

A sütőben hagyjuk, amíg meg nem sül (kb. 1 óra).

Örömmel falatozzuk a lecsót, mert nagyon finom!"
Töltött burgonya szójababbal,"Ez az első alkalom, hogy tofu-t ettem, és nagyon tetszett.","50 g szója
zöldhagyma levelek
1 piros paprika
sós szószban lévő tofu
só
bors
tojás (opcionális)","Ha szeretnénk tojást is adni, kevesebb tölteléket teszünk bele. A krumpli belsejét újra főztem és pürét készítettem belőle.","Tegyünk egy tálba szóját, öntsünk rá vizet, és hagyjuk 20 percig áztatni, majd jól csavarjuk ki a vizet, és kb. 5 percig főzzük. A krumplit megmossuk, sós vízben megfőzzük, amíg a villa belemegy. Kifőzzük, lecsöpögtetjük, és alacsony hideg víz alatt átöblítjük. Hideg víz alatt megpucoljuk, és kivájtunk belőle egy nyílást. A vágott hagymát, a paprikát, a tofut kockákra vágjuk, hozzáadjuk a lecsepegtetett szóját, sóval és borssal ízesítjük, majd a krumplikba töltjük. Az olajjal kikenőtt tepsibe rakjuk, és tojásig sütjük (kb. 30 perc)."
Spenótos Phyllo tészta lepény,"Ez a pite nagyon különleges a húsvéti asztalon vagy bármilyen más ünnepi alkalomra. Nekem nagyon szeretem a spenótot, és amikor csak tudom, fogyasztok belőle.","egy kg fagyasztott spenót
egy közepes vöröshagyma
paradicsom szósz
egy szál zöld petrezselyem
só/bors
citromlé ízlés szerint
egy csésze olaj a lapok kikenéséhez
mogyoró vagy dió a díszítéshez","Nan

Nincs","Először vegye ki a tésztát a fagyasztóból, kb. 2 órával a töltelék elkészítése előtt. A tölteléket ugyanúgy készítsük el, mint a spenótot. Vágjuk apróra a vöröshagymát, és pár percig pirítsuk, amíg megpuhul. Adjuk hozzá a fagyasztott spenótot ugyanabba a serpenyőbe, és fedjük le egy fedővel, amíg a spenót teljesen fel nem olvad (a tűznek nagyon alacsonynak kell lennie, hogy ne kelljen folyamatosan keverni a spenótot, és ne ragadjon össze). Amikor a spenót megpuhult, ha szükséges, adjunk hozzá még egy kis vizet, majd ízesítsük sóval és borssal ízlés szerint. Adjunk hozzá még 2-3 evőkanál paradicsompürét és a fél citrom leve (ízlelés alapján adjunk hozzá citromlevet, attól függően, mennyire savanyút szeretnénk). Amikor a spenót elkészült, adjuk hozzá a finomra vágott petrezselymet, és keverjük össze. A összeszerelés relatíve egyszerű. Vegyük ki a csomagból a tésztákat, és ellenőrizzük, hogy felolvadtak-e, számoljuk meg őket, és egyenlő részekre osztjuk, majd vegyünk egy pohár olajat és egy ecsetet a kenéshez. 

Először kenjük meg a tepsit egy kis olajjal, majd tegyünk egy tésztát, amit megkenünk olajjal, és ráhelyezzük a másik tésztát, és így tovább, amíg el nem fogy a csomag első harmadából. Adjuk hozzá az spenót felét a tésztákhoz, és fedjük le a másik harmad tésztával, amit ismét megkenünk olajjal. Tegyük rá a másik felét a töltelékből, és végül helyezzük el az utolsó tésztát. Az utolsó tésztát kenjük meg egy kevés olajjal összekevert vízzel, és szórjuk meg szezámmaggal vagy mákkal. 

A töltött tésztát sütés előtt vágjuk el, mert a tészták kiforrhatnak, és megzavarhatják a tészta megjelenését! 

Süssük, amíg szép barna nem lesz. Jó étvágyat!"
Almás pite,Itt van egy finom Joya Natur tejes tárta receptje.,"150g teljes kiőrlésű liszt
50ml olaj
70ml JOYA Natur tej
1/2 csomag szárított élesztő
1 teáskanál barna cukor
egy csipet só
500g szeletelt vékony sárga alma
1/2 teáskanál fahéj
2 evőkanál mandula darabok
3 evőkanál cukor
150g JOYA Natur joghurt
2 csomag vaníliás cukor
egy fél citrom leve","Nan

Nincs","Vegyük össze a lisztet, az olajat, a szójatejet, a sütőport, a cukrot és a sót, és dagasszuk össze, míg egy tésztát kapunk. Hagyjuk a tésztát egy óráig kelni, majd előmelegítjük a sütőt 180 °C-ra. Nyújtsuk ki a tésztát egy vékony tésztára, amelyet egy olajjal kikent tepsibe helyezünk, és 3 cm magas peremet készítünk. A tepsiben lévő alját szeletelt almával borítsuk be, és szórjuk meg fahéjjal, cukorral és mandulával. Keverjük össze a szójatejet, a vaníliás cukrot és a citromlével, és öntsük a tésztára. Süssük 30–40 percig."
Gyors vinettel zakuszka,"Nan

Nem","3 zsíros paprika
2 hagyma
2 nagy sárgarépa
1 babérlevél
só
bors","Nan

Nincs","A padlizsán és a paprika kisütésre kerül a serpenyőben, majd megtisztítjuk őket. A vöröshagymát apróra vágjuk, a répát pedig egy kis lyukú reszelőn reszeljük le. Egy lábasba helyezzük a felhevített olajat, majd hozzáadjuk a hagymát. Kicsit megpirítjuk, majd hozzáadjuk a répát és még öt percig hagyjuk. Közben a paprikát kicsi kockákra vágjuk, majd a hagymához és a répához adjuk. Együtt pirítsuk öt percig, majd adjuk hozzá a felkockázott padlizsánt. Ízlés szerint sózzuk és borsozzuk, majd adjuk hozzá a fűszerpetrezelt. Főzzük kb. 20 percig, amíg a zöldségek által kibocsátott lé elpárolog. Hidegen kenyérrel tálalva tökéletes egy böjti napra! Jó étvágyat!"
Sütőtök és paprika krémleves,"Nan

Nan","2 evőkanál olívaolaj
1 fej vöröshagyma, apróra vágva
5 gerezd fokhagyma, apróra vágva
1 evőkanál koriander
fahéj
400 ml zöldségleves
300 g tök, kis darabokra vágva
1 piros paprika, vékony szeletekre vágva
1 kis krumpli, kis darabokra vágva
1 citrom
250 ml Joya natur ital
só
bors","Nan

Nincs","A Joya hirdetésreceptje

A napraforgóolajat melegítsük fel, adjuk hozzá a vöröshagymát és a fokhagymát, és pár percig pirítsuk. Adjuk hozzá a tököt, a krumplit és a paprikát, és keverjük, amíg a tök kissé megpuhul. Utána adjuk hozzá a zöldséglevet. Főzzük, adjunk hozzá sót, borsot és fahéjat. Tegyük a levest és a zöldségeket a turmixgépbe, amíg egyenletes keveréket kapunk. Facsarjuk a citromot, adjuk hozzá a Joya Natur italt, és szórjuk meg a felső részét korianderrel."
Vanília és gyümölcsök sivataga,Mit szólsz egy vanília és gyümölcsös posta recepthez?,"1/2 liter JOYA szójaital Vanília vagy Kálcium ízesítéssel
1 csomag vaníliás puding
4 evőkanál cukor
500g friss (fagyasztott) gyümölcs – málna, eper, bogyófélék stb.","Nan

Nincs","A szója tej és a cukor segítségével készítsen vanília pudingot. Amikor kész, paszírozza meg a gyümölcsöket egy finom pépig. A desszert tálalásához használjon átlátszó poharakat vagy tálakat, és váltakoztasson két réteg pudingot egy közepes réteg paszírozott gyümölcs között. A dekorációhoz egész gyümölcsöket használhat. Joya recept hirdetés"
Rázzuk meg a őszibarackokat és narancsokat,"Egy vitaminos pohár reggelire, egy könnyen elkészíthető diétás recept.","250 gr sült őszibarack, szeletelve
250 gr Joya Natur joghurt
2 evőkanál citromlé
2 evőkanál méz
100 ml hideg víz","Nan

Nem","Kezdjük azzal, hogy a megpárolás után felkockázott őszibarackot tedd a turmixgépbe. Amikor ezek péppé válnak, keverd össze őket a narancslével, a szójajoghurttal, a citromlével, a mézzel és a vízzel, és turmixold össze az összes hozzávalót. Ezután egy frissítő és nagyon egészséges italhoz jutsz, amely tökéletes reggelihez. Joya recept hirdetés"
"""Izgalmas szójabab""",Gyors és finom ételek az utáni időszakra,"1 doboz sárga borsó (720 ml)
1 hagyma
1 sárgarépa
1 evőkanál házi leves
1 csomag Inedit szójabab kockák
4-5 nagyobb fokhagyma gerezd
só
bors
olaj","Nan

Nincs","Soját beleteszünk egy lábasba sós vízben, kb. 10 percig főzzük, majd lecsepegtetjük. Egy másik lábasba tegyünk egy kevés olajat, apróra vágott hagymát, kockára vágott sárgarépát, és egy kevés vizet, majd pároljuk pár percig. Adjunk hozzá egy kanál zöldséget, a jól megmosott soját, nagyobb darabokra vágott fokhagymát. Öntsünk rá annyi vizet, amennyit magába fogad, sózzuk, borsozzuk ízlés szerint, keverjük össze, fedjük le egy fedővel, és főzzük alacsony lángon kb. 20-30 percig. Jó étvágyat!"
Tofu pörkölt,"Nan

Nincs","1 pohár szója
2 hagyma
2 piros paprika
1 evőkanál paradicsom paszta
1 evőkanál csípős szósz (opcionális)
só
bors
zöld petrezselyem","Nan

Nincs","Soját forraljuk 15 percig sós vízben (hozzáadtam bazsalikomot és kakukkfüvet). Miután megfőtt, leszűrjük a vizét, és hagyjuk hűlni. Egy serpenyőben apróra vágott hagymát teszünk, és kevés olajon megpirítjuk, majd felkockázott vagy apróra vágott paprikát adunk hozzá, és pár percig pirítjuk. Ezután adjuk hozzá a paradicsom pasztát, és némi vizet, fűszerezzük ízlés szerint, és ha szükséges, még némi vizet adunk hozzá. Főzzük pár percig, majd a végén kevés friss petrezselymet szórunk rá."
Karfiol leves,"Egy rendkívül könnyen elkészíthető, finom étel, tökéletes böjti napra (ha mellé nem tesszük a teáskanál tejet).","2 nagy paradicsom
2 nagy hagyma
1/2 zöld petrezselyem
3-4 gerezd fokhagyma
só, bors ízlés szerint
olaj","Azoknak, akik nem tartanak böjtöt, kevés tejszínnel is megkínálható, nagyon finom!","Szedjük szét a karfiolt csokrokra, és mossuk meg. Ezután tegyük a sós vízbe, és főzzük kb. 10 percig. Közben egy forró olajban dobjuk fel a vékonyra vágott hagymát és paradicsomot. Adjuk hozzá a petrezselymet és a fokhagymát, aprítva. Keverjük össze, és adjuk hozzá a főtt karfiolt. Ízesítsük sóval és borssal, és hagyjuk összeérni az ízeket."
Sparaglis saláta,"Nan

Nincs","500 g zöld spárga
só
4 szelet citrom
2 evőkanál ecet
bors
6 koktél paradicsom, félbevágva
bazsalikom levelek
Saláta bazsalikom mártás
100 g JOYA Soygurt natura
1 evőkanál olívaolaj
1 evőkanál fehér balsamic ecet
só, bors
1 kis összekötött bazsalikom, szeletekre vágva","Nan

Nan","A salátát, a megtisztított spárga és a felvágott paradicsomokat egy tálba rendezzük. Sóval és borssal fűszerezzük. Hozzáadjuk a bazsalikom leveleket. Egy joghurtból, olajból, ecetből, bazsalikom szószból öntetet készítünk és a salátára öntjük. Joya recept hirdetés"
Vegyes szürke,Egy másik szürke tejjel.,"JOYA szója kalcium ital
5-6 evőkanál zabpehely
egy csipet cukor
1 doboz Joya Finesse","Nan

Nincs","A Hietzingi Központ Napi Gondozási Receptje. A szójából készült ital lassan felmelegítésével, a zabkása és a cukor hozzáadásával kezdődik. Keverjük össze, amíg a zabkása forrni kezd, és egy sima, nem túl sűrű pudingot kapunk. A vaj helyett adagoljunk egy Joya Finesse-t, és jól keverjük el. A díszítéshez kakaót, ribizlit vagy fahéjat használhatunk. A Joya reklámreceptje."
Tejszínhabos szójagyúrt,"Nan

Nincs","450 g JOYA Soygurt természetes
1 teáskanál vaníliás cukor
2 evőkanál cukor
egy citrom héja és a ½ citrom leve (természetesen)
1 doboz rum
friss gyümölcsök dekorációhoz","Nan

Nincs","Készítsd el a krémet a csomagoláson leírtak szerint. Mindazonáltal használj Joya szójából készült vanília vagy + kalcium alapú italokat, saját preferenciád szerint. Díszítsd gyümölcsökkel. Joya reklám recept"
Vanília krém,"Nan

Nincs","1/2 liter JOYA szójatej vanília vagy kalcium por a vanília krémhez
cukor
friss gyümölcsök","Nan

Nan","Fedd le a Joya Soygurt-ot egy tiszta konyharuhába néhány órára, amíg a konzisztenciája kevésbé folyékony lesz (ha túl sűrű, adjunk hozzá még egy kis Joya Soygurt-ot). Adjuk hozzá a vaníliás cukrot és a reszelt citromhéjat, és öntsük a joghurt alá együtt a cukorral. Most adjuk hozzá a citromlevet, és ha úgy akarjuk, a rumot is. Használjunk friss eper, málna és szőlőt a díszítéshez. A finom krém kész! Reklám recept Joya"
Aromás sütemény (vegán),A recept egy 1990-es évek eleji magazinból származik.,"egy pohár víz,
egy pohár cukor,
fél pohár olaj,
1-2 pohár liszt,
egy teáskanál sütőpor,
ízesítő.
0,5 kg sima keksz, tojás nélkül
egy csésze víz,
4 evőkanál édes lekvár,
100-150 g porcukor,
2 csomag margarin,
citrom- és narancshéj,
2-3 evőkanál rum (vagy aroma),
2 fehér csokoládé (opcionális),
egy marék mazsola.
egy fehér csokoládé
2-3 teáskanál víz
50g margarin",2) 200-250 ml-es pohár használata,"A tésztát összekeverjük az összetevőkkel, míg teljesen össze nem keveredik. A tepsit kibéleljük sütőpapírral, és 180 fokos sütőben kb. 30 percig sütjük. Teszteljük a tűpróbával. Amikor kész, kivesszük, és a tepsiben hagyjuk kihűlni. Közben elkészítjük a krémet: a kekszeket összetörjük. Összekeverjük a porcukrot (én egy kávédarálót használok csak porcukor készítésére, amikor szükséges), a margarinnal, a lekvárral, a sárgabarack lekvárral, a citrom és narancs héjjal, a mazsolával, a rummal és a lassú tűzön olvasztott csokoládéval 2-3 evőkanál vízzel. Az összetevőket összekeverjük a kekszporral és vízzel (vagy víz és cukor sziruppal), de mivel különböző fajtájú kekszeket használhat, fokozatosan adjunk hozzá vizet, amíg egy sűrű krémet kapunk, amelyet jól ízesítsünk minőségi rummal, vagy rumaromával. Miután a tészta kihűlt, könnyen eltávolítjuk a sütőpapírt, és a tepsiben hagyjuk. A krémet elkenjük a tésztára, majd a glazúrt, amelyet 2-3 evőkanál víz és 50 g margarin lassú tűzön olvasztott csokoládéból készítünk. Hűtőszekrénybe tesszük néhány órára, majd tálalhatjuk."
Piros pitypang uborkával fokhagymával,"Nan

Nincs","Két egyforintos zacskó, vagy két töltött füves tál,
egy gerezd fokhagyma,
két kanál reszelt liszt,
olívaolaj,
füves tál leve,
egy vöröshagyma (opcionális).","Nan

Nincs","Megmosom és alaposan átmostuk a medvehagymákat több hideg vízben. Minden alkalommal kézzel kiemeltük őket a vízből, és lecseréltük a vödröt, hogy a homok a fondorlathoz maradjon. 2 liter sós vizet forralunk, és amikor felforr, hozzáadjuk a megmosott medvehagymákat. 20 percig főzzük, majd leszűrjük, nagyon finomra vágjuk vagy turmixoljuk, mindkét mód ugyanolyan jó. A lisztet a medvehagymákra szórjuk, és jól összekeverjük. Egy kis fokhagymát pucolunk, vagy egy késsel összetörünk (ha szeretnénk, beletehetünk egy kis hagymát is, de csak fokhagymával jobb), hozzáadjuk a medvehagymákat, és ha szükséges, egy kis főzőlé, hogy összeálljon. Sózzuk ízlés szerint, és amikor kész, tegyük bele a maradék fokhagymát. Hidegen tálaljuk körettel. Ezekből a medvehagymákból négy adag lett."
Sült rizs szójaszalámmal,"Ki mondta, hogy a böjti étel nem ízletes? Itt van a bizonyíték, hogy igen!","-1 piros paprika 
-2 hagyma 
-3-4 gerezd fokhagyma 
-1 sárgarépa
-konzerv gomba 
-1 csésze rizs 
-1 evőkanál csípős paprika 
-só 
-bors 
-4 csésze víz 
-100 ml olaj 
-1 zacskó sovány szójaszósz INEDIT
-1 evőkanál leves hozzávaló 
-2 evőkanál zsemlemorzsa 
-100 ml olaj (sütéshez)","Nan

Nincs","A RIZSRE: - A zöldségeket kis kockákra vágjuk, majd fél adag olajon megpároljuk - A megmosott rizst hozzáadjuk, és folyamatosan kevergetve 5 percig főzzük - Sót, borsot és paprikát adunk hozzá - 3 csésze vízzel öntjük fel, és alacsony lángon 20 percig főzzük - Közben egy tepsit olajjal kikenünk - Amikor a rizs felére megfőtt, öntsük bele a tepsibe, adjunk hozzá egy csésze vizet, és 30 percig süssük. A CSIRKESNITKÁKHOZ: - 15 percig főzzük a csirkesnitkákat levesízesített vízben - Leszűrjük a felesleges vizet - Olajban forróságon kisütjük őket A savanyúsággal tálaljuk."
Spináchétel,"Vajon tojással vagy anélkül, mindig finom és tele van vitaminokkal. :)","1,5 kg friss spenót
1 nagy hagyma
1/2 piros kaliforniai paprika
2 evőkanál levespor
1-2 evőkanál liszt
olaj
só","Nan

Nincs","A spenótot megtisztítjuk, csak a levelek maradnak. Elmerülünk vízbe, ahol 30 percig tartjuk, amíg az összes föld lefolyik. Kifolyatjuk, és még kétszer megmossuk. A spenótot megfőzzük. Erre egy lábas vizet teszünk a tűzre. Amikor a víz forrni kezd, beletesszük a spenót leveleket, és 2-3 percig főzzük, majd leszűrjük és hűlni hagyjuk, hogy fel tudjuk vágni. A kívánságunknak megfelelően vágjuk fel a késsel. A felvágott hagymát és paprikát egy serpenyőben olajjal és egy csésze vízzel tesszük, fedővel lefedjük, és a tűzön addig tartjuk, amíg a zöldségek megpuhulnak. Hozzáadjuk a felvágott spenótot, és megöntözzük annak a víznek a segítségével, amiben megfőztük a spenótot. Főzzük még néhány percig, ízesítsük sóval és a lével. A lisztet kevés vízben elkeverjük, és a spenótra öntjük. Főzzük még 5 percig. Ízlés szerint tálaljuk, akár tojással is."
